personA	personB	weight	release
376	141	1	2.2
457	333	1	2.2
68	373	22	2.2
114	143	5	2.2
98	458	2	2.2
43	331	2	2.2
56	56	171	2.2
143	287	6	2.2
143	181	4	2.2
130	258	2	2.2
117	159	9	2.2
249	304	1	2.2
310	89	38	2.2
202	240	8	2.2
181	102	9	2.2
373	270	2	2.2
391	65	7	2.2
304	202	1	2.2
270	373	2	2.2
304	61	5	2.2
258	457	48	2.2
399	275	24	2.2
399	133	8	2.2
415	415	1	2.2
373	170	1	2.2
376	143	1	2.2
10	34	1	2.2
68	424	12	2.2
114	170	1	2.2
102	457	1	2.2
43	424	4	2.2
56	68	10	2.2
143	301	5	2.2
143	187	2	2.2
130	304	5	2.2
129	117	8	2.2
249	373	2	2.2
310	114	7	2.2
202	287	6	2.2
182	133	1	2.2
373	275	12	2.2
391	68	8	2.2
331	424	8	2.2
304	233	4	2.2
275	399	4	2.2
304	94	3	2.2
270	143	6	2.2
399	279	24	2.2
399	164	167	2.2
420	399	11	2.2
376	181	2	2.2
10	56	13	2.2
89	287	3	2.2
114	187	1	2.2
56	244	6	2.2
56	143	94	2.2
143	330	1	2.2
143	196	9	2.2
164	304	24	2.2
129	129	6	2.2
258	310	32	2.2
310	143	392	2.2
202	304	23	2.2
182	182	4	2.2
373	287	8	2.2
373	301	4	2.2
331	304	27	2.2
391	89	12	2.2
331	34	2	2.2
304	235	33	2.2
276	267	6	2.2
304	97	2	2.2
276	40	2	2.2
399	287	73	2.2
399	170	1	2.2
373	238	4	2.2
420	420	8	2.2
391	444	1	2.2
10	68	10	2.2
89	310	6	2.2
132	117	2	2.2
56	331	12	2.2
61	61	2	2.2
143	368	3	2.2
159	117	18	2.2
164	399	25	2.2
129	132	4	2.2
258	391	7	2.2
310	170	7	2.2
202	369	2	2.2
187	114	1	2.2
399	308	4	2.3
399	181	16	2.3
79	304	3	2.3
126	143	4	2.3
159	427	30	2.3
159	335	25	2.3
159	279	6	2.3
304	374	10	2.3
287	19	2	2.3
320	457	1	2.3
342	304	22	2.3
399	315	11	2.3
399	194	47	2.3
461	461	1	2.3
85	399	30	2.3
159	442	4	2.3
159	399	1925	2.3
161	161	1	2.3
253	143	4	2.3
304	376	3	2.3
287	89	6	2.3
342	342	21	2.3
397	54	2	2.3
399	321	4	2.3
399	259	1	2.3
115	399	6	2.3
139	139	23	2.3
161	399	1	2.3
173	248	27	2.3
304	377	12	2.3
287	132	3	2.3
342	399	17	2.3
399	19	7	2.3
399	325	12	2.3
420	143	5	2.3
122	304	21	2.3
143	54	2	2.3
164	391	2	2.3
304	398	3	2.3
287	141	3	2.3
369	373	1	2.3
399	47	4	2.3
399	335	36	2.3
420	153	1	2.3
122	399	6	2.3
143	66	2	2.3
181	391	10	2.3
194	143	3	2.3
304	402	5	2.3
287	181	16	2.3
370	304	1	2.3
399	58	18	2.3
399	342	32	2.3
126	304	16	2.3
143	194	5	2.3
194	399	1	2.3
194	216	4	2.3
308	304	29	2.3
301	143	2	2.3
369	461	1	2.3
370	370	2	2.3
399	75	2	2.3
399	374	25	2.3
427	159	9	2.3
31	31	1	2.3
126	457	8	2.3
126	399	10	2.3
143	237	3	2.3
237	304	3	2.3
308	329	1	2.3
304	10	48	2.3
373	398	3	2.3
