b.source_id	c.target_id	weight	release
143	424	10270174	2.2
143	425	210803	2.2
170	238	3605	2.2
170	310	35016	2.2
170	373	376	2.2
170	399	9560	2.2
196	304	4674835	2.2
238	310	35425	2.2
238	373	442	2.2
249	304	281590	2.2
249	373	562778	2.2
258	310	82478	2.2
258	391	258279	2.2
258	399	3948137	2.2
301	373	0	2.2
301	399	60902	2.2
310	238	135733	2.2
310	258	9220	2.2
310	373	35858180	2.2
310	399	22330881	2.2
367	207	2668519	2.2
367	304	5757150	2.2
367	373	1536054	2.2
373	233	6416	2.2
373	249	4968297	2.2
373	270	6717	2.2
373	275	250076	2.2
373	287	1820248	2.2
373	301	501880	2.2
373	330	391188	2.2
373	368	138551	2.2
373	395	2062510	2.2
389	304	114961	2.2
389	389	587784	2.2
391	207	2668622	2.2
391	287	4082608	2.2
391	310	671958	2.2
391	333	115486	2.2
391	367	25	2.2
399	233	18443623	2.2
399	245	2732000	2.2
399	267	3243179	2.2
399	275	383184	2.2
399	279	7274478	2.2
399	287	8120461	2.2
399	301	5562892	2.2
399	310	51744808	2.2
399	328	133264	2.2
399	364	8486570	2.2
399	368	260880	2.2
399	395	4159812	2.2
399	396	2149059	2.2
399	403	1298527	2.2
399	415	56277	2.2
399	420	427854	2.2
399	425	330407	2.2
457	216	78	2.2
457	333	106009	2.2
10	34	4623	2.2
10	56	443032	2.2
10	68	1082534	2.2
19	89	6618	2.2
40	40	1300	2.2
40	143	367	2.2
42	143	38771	2.2
43	10	1449	2.2
43	34	6073	2.2
43	56	461881	2.2
43	68	5802	2.2
43	143	73527	2.2
56	10	781534	2.2
56	34	812677	2.2
56	43	772835	2.2
56	56	19583627	2.2
56	68	1000098	2.2
56	143	6203670	2.2
61	61	0	2.2
66	66	0	2.2
66	143	0	2.2
94	94	0	2.2
97	97	0	2.2
98	98	4871886	2.2
98	116	946317	2.2
98	143	1255132	2.2
98	159	33577	2.2
102	181	8277	2.2
117	117	155577	2.2
117	129	57184	2.2
117	132	57598	2.2
117	159	176649	2.2
129	117	502363	2.2
129	129	45392	2.2
129	132	173207	2.2
129	159	427105	2.2
130	130	433691	2.2
130	143	854873	2.2
164	108	871516	2.2
164	143	1144198	2.2
164	175	308547	2.2
173	45	419344	2.2
173	143	5547263	2.2
173	188	736787	2.2
175	143	232575	2.2
175	164	407565	2.2
175	175	4705	2.2
181	102	444690	2.2
182	133	4	2.2
182	182	43392	2.2
187	114	227	2.2
202	98	243166	2.2
202	116	1311070	2.2
202	143	816473	2.2
202	202	1460	2.2
212	451	222772	2.2
233	143	5270	2.2
235	143	33	2.2
244	10	1424	2.2
244	34	6048	2.2
244	56	461553	2.2
244	68	5777	2.2
244	143	73350	2.2
258	425	93028	2.2
258	457	1466537	2.2
270	143	11876	2.2
276	40	780	2.2
276	45	397853	2.2
276	188	700153	2.2
287	143	1403874	2.2
331	10	802	2.2
331	68	9376	2.2
367	444	519782	2.2
367	457	1691159	2.2
368	143	33	2.2
369	68	6797909	2.2
369	143	11828073	2.2
373	444	3664579	2.2
376	132	133597	2.2
376	141	165401	2.2
376	143	164233	2.2
376	181	206561	2.2
391	444	519807	2.2
425	143	6859847	2.2
10	331	131	2.2
10	424	1205298	2.2
19	287	86091	2.2
19	304	67543	2.2
19	391	95434	2.2
23	304	20877	2.2
40	276	195	2.2
40	391	325	2.2
42	304	868220	2.2
43	244	25	2.2
43	304	1973237	2.2
43	331	2227	2.2
43	424	1211098	2.2
56	244	772985	2.2
56	331	1559037	2.2
56	424	24434099	2.2
61	304	0	2.2
94	304	0	2.2
97	304	0	2.2
98	240	1248920	2.2
98	287	228437	2.2
98	369	307821	2.2
98	373	3955476	2.2
98	380	1726734	2.2
102	304	4624	2.2
117	373	102712	2.2
129	373	207109	2.2
130	258	161474	2.2
130	304	732745	2.2
164	304	427832	2.2
164	399	593061	2.2
173	267	435144	2.2
173	276	7163	2.2
173	304	8623372	2.2
173	396	298375	2.2
173	399	7181842	2.2
175	304	28708	2.2
182	304	940	2.2
182	399	867	2.2
187	304	134	2.2
187	373	26	2.2
188	276	6345	2.2
188	304	295915	2.2
202	240	1735258	2.2
202	287	593190	2.2
202	304	2465935	2.2
202	369	429406	2.2
233	233	207469	2.2
233	304	4328	2.2
233	373	33936	2.2
233	399	278217	2.2
